Date,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,BSX,CAH,CI,CNC,COO,COR,CRL,CTLT,CVS,DGX,DHR,DVA,DXCM,ELV,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,INCY,IQV,ISRG,JNJ,LH,LLY,MCK,MDT,MOH,MRK,MTD,PFE,PODD,REGN,RMD,RVTY,STE,SYK,TECH,TFX,TMO,UHS,UNH,VRTX,VTRS,WAT,WST,ZBH,ZTS
2015-01-02,37.42206573486328,43.563167572021484,37.10874557495117,56.20000076293945,120.22657012939453,33.77264404296875,118.46035766601562,342.010009765625,43.87142562866211,13.220000267028809,60.516807556152344,96.26022338867188,26.110000610351562,40.064979553222656,78.0326919555664,63.880001068115234,27.510000228881836,72.58012390136719,56.27626419067383,35.26847839355469,75.83000183105469,13.6274995803833,109.9330062866211,21.286666870117188,68.35200500488281,69.42179107666016,26.3799991607666,53.66274642944336,133.40457153320312,73.66500091552734,73.76000213623047,59.11000061035156,58.39666748046875,79.31123352050781,92.4557876586914,57.90544891357422,191.53823852539062,56.8979606628418,52.43000030517578,40.54890060424805,301.95001220703125,20.041162490844727,45.18000030517578,410.1600036621094,50.255287170410156,42.62460708618164,58.2166748046875,83.735107421875,21.261768341064453,107.90827178955078,124.45162963867188,106.58016204833984,86.89295196533203,123.06999969482422,48.401519775390625,113.87999725341797,49.89940643310547,101.15768432617188,40.2789306640625
2015-01-05,36.720848083496094,42.74336242675781,37.11701583862305,56.9900016784668,118.79795837402344,32.934207916259766,119.18880462646484,336.739990234375,43.18581008911133,13.8100004196167,60.171043395996094,94.60330200195312,26.040000915527344,39.75564956665039,77.36849975585938,64.37999725341797,28.079999923706055,71.86273956298828,54.897308349609375,34.91876220703125,74.69999694824219,13.864999771118164,108.00525665283203,21.296667098999023,69.7059326171875,67.39459991455078,26.1200008392334,53.18039321899414,129.86859130859375,73.15499877929688,74.22000122070312,58.40999984741211,57.1522216796875,78.75727844238281,93.26068878173828,57.33514404296875,193.1097412109375,56.660484313964844,51.43000030517578,41.15155792236328,295.45001220703125,19.932418823242188,45.09000015258789,412.4700012207031,50.158592224121094,41.61920166015625,57.63594436645508,82.44326782226562,21.006000518798828,105.5364761352539,122.74202728271484,104.39995574951172,85.46170806884766,121.02999877929688,47.860389709472656,113.0199966430664,49.21059036254883,104.93123626708984,40.037132263183594
2015-01-06,36.14881896972656,42.531795501708984,36.69551086425781,57.45000076293945,114.9705810546875,32.7591438293457,118.96009826660156,334.6499938964844,43.11208724975586,13.699999809265137,59.524620056152344,94.97774505615234,26.125,39.19437789916992,77.79116821289062,64.6500015258789,26.549999237060547,71.9161605834961,54.073184967041016,34.68011474609375,73.62000274658203,13.552499771118164,109.47735595703125,21.170000076293945,70.3252944946289,67.28196716308594,25.75,52.87058639526367,129.76600646972656,73.38999938964844,71.48999786376953,57.06999969482422,57.75444412231445,78.37029266357422,91.77536010742188,57.62442398071289,192.66603088378906,56.375526428222656,50.36000061035156,42.768131256103516,291.1199951171875,20.098737716674805,43.4900016784668,396.8900146484375,49.798179626464844,41.242149353027344,57.67169189453125,82.32748413085938,20.822307586669922,104.06820678710938,121.5958251953125,104.43834686279297,85.28925323486328,117.36000061035156,46.53761291503906,112.52999877929688,48.36872100830078,104.04177856445312,39.646507263183594
2015-01-07,36.62859344482422,44.25076675415039,36.993038177490234,59.56999969482422,118.98587036132812,32.9157829284668,121.74671173095703,353.239990234375,43.672367095947266,14.029999732971191,61.65935516357422,97.2056884765625,26.267499923706055,40.46659469604492,79.34391021728516,66.19999694824219,27.809999465942383,73.2136001586914,54.75859451293945,34.889949798583984,74.29000091552734,13.899999618530273,110.02062225341797,21.666667938232422,71.64319610595703,68.50204467773438,26.399999618530273,54.33333206176758,132.22900390625,74.87000274658203,74.44999694824219,57.77000045776367,58.071109771728516,80.10040283203125,93.38516235351562,57.21945571899414,198.5175323486328,57.78451919555664,50.459999084472656,43.682769775390625,296.489990234375,20.373796463012695,44.529998779296875,407.7200012207031,50.13222885131836,41.49351501464844,58.13628387451172,83.88655090332031,21.10365104675293,104.88703918457031,125.23844146728516,107.55979919433594,86.16007232666016,120.66000366210938,48.19538497924805,115.93000030517578,49.153194427490234,106.62930297851562,40.464927673339844
2015-01-08,37.72651672363281,44.71357345581055,37.753395080566406,61.439998626708984,118.55729675292969,33.7680549621582,123.96585845947266,350.25,44.76344680786133,14.59000015258789,63.56108093261719,102.15772247314453,26.672500610351562,40.63124084472656,79.52503967285156,66.55999755859375,27.989999771118164,74.77051544189453,56.20281982421875,35.428932189941406,75.7699966430664,14.592499732971191,115.26927185058594,22.191667556762695,73.67411041259766,70.32276916503906,27.110000610351562,55.09803771972656,137.92005920410156,75.41500091552734,73.20999908447266,59.20000076293945,59.22222137451172,80.73021697998047,95.89944458007812,58.57490539550781,200.7823486328125,59.16975784301758,51.5099983215332,44.56196975708008,300.7200012207031,20.789588928222656,40.52000045776367,403.25,50.976112365722656,42.53761291503906,59.66407012939453,85.31197357177734,21.27804946899414,105.43290710449219,126.54008483886719,108.664306640625,90.2728042602539,123.97000122070312,48.659210205078125,118.08999633789062,50.119422912597656,107.76139831542969,41.08805465698242
2015-01-09,37.44972610473633,43.49045181274414,37.356689453125,62.58000183105469,117.09851837158203,33.34421920776367,122.50052642822266,342.3399963378906,44.468563079833984,14.649999618530273,63.01988220214844,101.09991455078125,26.467500686645508,40.37678909301758,80.22374725341797,66.7300033569336,27.56999969482422,74.73236083984375,56.071651458740234,35.1903076171875,75.22000122070312,14.547499656677246,113.73585510253906,22.19333267211914,73.6092758178711,70.05996704101562,26.760000228881836,55.37647247314453,136.91249084472656,74.99500274658203,72.02999877929688,58.81999969482422,57.87444305419922,79.62992858886719,96.2562484741211,57.797996520996094,200.29244995117188,58.8927001953125,50.86000061035156,44.35633850097656,299.2799987792969,20.88553810119629,41.290000915527344,411.0400085449219,51.12554168701172,42.10257339477539,59.01183319091797,84.27853393554688,21.34082794189453,105.07525634765625,126.03494262695312,108.38578033447266,89.42784881591797,122.20999908447266,47.963470458984375,116.5199966430664,49.54542541503906,106.20706176757812,41.153141021728516
2015-01-12,37.00686264038086,43.477230072021484,37.67075729370117,63.16999816894531,117.46701049804688,33.5008430480957,121.59425354003906,347.8399963378906,45.83976364135742,14.579999923706055,62.24565124511719,99.39619445800781,26.197500228881836,40.18970489501953,78.4381332397461,67.38999938964844,27.670000076293945,74.18284606933594,55.833885192871094,34.754180908203125,74.41999816894531,14.757499694824219,112.88593292236328,22.54833221435547,72.88909912109375,67.76062774658203,28.729999542236328,54.8470573425293,135.75558471679688,75.63500213623047,73.30000305175781,59.060001373291016,58.38999938964844,79.35677337646484,96.12348175048828,57.37647247314453,198.4344024658203,58.94812774658203,50.130001068115234,44.1719856262207,296.32000732421875,20.96230125427246,40.650001525878906,413.3299865722656,51.5914421081543,41.99622344970703,57.877166748046875,83.7618179321289,21.280372619628906,104.33172607421875,124.8207778930664,102.03726196289062,88.41905975341797,118.30999755859375,47.4738655090332,116.45999908447266,49.631534576416016,106.45864868164062,40.38123321533203
2015-01-13,36.49017333984375,42.22494125366211,37.06422805786133,62.650001525878906,116.65489959716797,33.15534210205078,120.0357894897461,352.739990234375,46.532745361328125,14.5,62.01266098022461,100.0046615600586,26.68000030517578,40.192203521728516,79.05059051513672,68.88999938964844,28.1299991607666,74.21337890625,55.68631362915039,34.704803466796875,74.54000091552734,14.9975004196167,114.15646362304688,22.270000457763672,70.0084228515625,67.70430755615234,28.780000686645508,54.7215690612793,136.99647521972656,78.0,76.18000030517578,59.4900016784668,57.962223052978516,79.49334716796875,96.14009094238281,57.34341812133789,198.42507934570312,57.6182746887207,51.779998779296875,44.09400177001953,296.6400146484375,20.75120735168457,40.04999923706055,406.489990234375,52.593570709228516,41.947879791259766,57.877166748046875,83.93997955322266,21.505918502807617,104.51996612548828,124.66532897949219,102.0468521118164,88.86742401123047,120.5999984741211,47.65424346923828,116.0199966430664,50.20552062988281,106.69223022460938,39.81392288208008
2015-01-14,36.03810119628906,42.43143844604492,36.790035247802734,61.060001373291016,116.66993713378906,33.04477310180664,119.2650146484375,348.75,46.40741729736328,14.5,61.59922790527344,100.57568359375,26.662500381469727,40.07495880126953,79.44739532470703,68.76000213623047,27.969999313354492,74.2821044921875,55.858482360839844,34.15760803222656,74.69000244140625,14.78499984741211,115.49710083007812,21.94499969482422,71.48474884033203,66.12760162353516,28.989999771118164,54.54509735107422,137.65884399414062,80.2249984741211,75.77999877929688,59.099998474121094,59.48444366455078,78.91666412353516,95.21902465820312,57.65749740600586,197.38973999023438,56.810874938964844,50.279998779296875,44.41306686401367,297.19000244140625,20.776792526245117,38.5,404.30999755859375,53.024288177490234,41.58961868286133,57.332157135009766,83.0758285522461,21.64310646057129,104.49172973632812,122.58660125732422,100.1836166381836,89.09156799316406,120.37999725341797,46.8897819519043,114.4000015258789,49.39238357543945,105.28165435791016,40.018531799316406
2015-01-15,35.0693359375,41.89188003540039,36.51586151123047,59.630001068115234,114.2336654663086,32.92960739135742,119.1464614868164,339.8800048828125,45.43431091308594,14.3100004196167,60.77238845825195,100.03277587890625,26.72249984741211,39.835479736328125,78.84354400634766,67.80000305175781,27.399999618530273,74.15995788574219,55.35835647583008,33.75027084350586,74.45999908447266,14.354999542236328,117.49496459960938,21.43166732788086,70.14524841308594,65.76158142089844,28.760000228881836,54.054901123046875,138.0040283203125,79.16500091552734,72.9000015258789,59.040000915527344,58.264442443847656,77.77083587646484,95.36007690429688,57.640968322753906,195.328369140625,56.913780212402344,49.869998931884766,43.874202728271484,289.0899963378906,20.72562026977539,31.860000610351562,397.1199951171875,52.980342864990234,41.444366455078125,56.53700637817383,81.51676940917969,21.296653747558594,104.01173400878906,120.57587432861328,101.480224609375,90.06588745117188,117.77999877929688,45.30073928833008,112.79000091552734,48.627037048339844,103.30502319335938,39.93482208251953
