,pair,correlation,same_sector,same_kmeans,mean_reverting,growth_differential
324,"('ABT', 'HSIC')",0.7311218783123139,0,0,False,-0.004899514508132634
325,"('ABT', 'TFX')",0.7897373734512788,0,1,False,0.0011539029040658413
326,"('ABT', 'DVA')",0.7164188548809789,0,0,False,0.014008561993472158
327,"('TMO', 'ISRG')",0.9438981744179525,0,0,False,-0.02534073238148138
328,"('TMO', 'DHR')",0.9906135211621715,1,0,False,0.025867503248817425
329,"('TMO', 'AMGN')",0.9133346254656632,0,1,False,0.02341158704065273
330,"('TMO', 'PFE')",0.8910949421633698,0,0,False,-0.05024813750541177
331,"('TMO', 'SYK')",0.9349664641497382,0,1,False,-0.007206364317933339
332,"('TMO', 'BSX')",0.8610432853388631,0,1,False,-0.00801917497092515
333,"('TMO', 'BMY')",0.7583750213096953,0,0,False,0.028400389731145104
334,"('TMO', 'VRTX')",0.8463698651216136,0,0,False,-0.020889316725200197
335,"('TMO', 'GILD')",0.017458438583816304,0,0,False,0.024185676353602685
336,"('TMO', 'MDT')",0.7617166904698839,0,0,False,0.03518912009950024
337,"('TMO', 'ELV')",0.948711401986651,0,1,False,-0.004955520371180133
338,"('TMO', 'CI')",0.8534322044321458,0,1,False,0.012667037599983905
339,"('TMO', 'REGN')",0.7671592628877736,0,1,False,-0.04552416881358464
340,"('TMO', 'MCK')",0.6443097909454932,0,1,False,0.03518912009950024
341,"('TMO', 'ZTS')",0.9758816021711165,0,1,False,0.006137540876751578
342,"('TMO', 'CVS')",0.39936893607093327,0,0,False,0.0017981746853578257
343,"('TMO', 'BDX')",0.8320559742029536,0,0,False,0.0337490873299653
344,"('TMO', 'HCA')",0.9399234675360957,0,0,False,0.008088671320279388
345,"('TMO', 'COR')",0.8085267232768978,0,1,False,0.011432520583279069
346,"('TMO', 'EW')",0.9396694139872345,0,0,False,-0.0022778668235891586
347,"('TMO', 'A')",0.9781686043486151,1,1,False,0.005735750089105398
348,"('TMO', 'RMD')",0.9722529883802185,0,1,True,0.03518912009950024
349,"('TMO', 'IDXX')",0.952084672157358,1,0,False,-0.000633925371120718
350,"('TMO', 'HUM')",0.9445841048816074,0,1,True,-0.002593902228698458
351,"('TMO', 'IQV')",0.9725493516352257,1,1,False,0.0018694312737772348
352,"('TMO', 'DXCM')",0.955977967393729,0,0,True,-0.04304299278671945
353,"('TMO', 'CNC')",0.8669609235948454,0,0,False,-0.0033165615099763138
354,"('TMO', 'CAH')",0.16613981096742422,0,0,False,0.03518912009950024
355,"('TMO', 'MTD')",0.9806023147316185,1,1,False,0.010095395283807842
356,"('TMO', 'BIIB')",-0.4647155148905528,0,0,False,0.06741104198568276
357,"('TMO', 'WST')",0.9650012910718937,0,0,False,-0.0048378391587458255
358,"('TMO', 'WAT')",0.9362127409027572,1,1,False,0.008595387390053368
359,"('TMO', 'ZBH')",0.6631852794706878,0,0,False,0.013393442848927274
360,"('TMO', 'STE')",0.9762647141234052,0,1,True,0.03518912009950024
361,"('TMO', 'COO')",0.9107044543063458,0,1,False,-0.0115173262315965
362,"('TMO', 'LH')",0.9459657048357544,1,1,False,0.04985786079364051
363,"('TMO', 'PODD')",0.9604893972785113,0,0,True,-0.04292669210896089
364,"('TMO', 'HOLX')",0.9578193158892443,0,1,True,0.06938909717917174
365,"('TMO', 'DGX')",0.945097549688086,1,0,True,0.03569763280675394
366,"('TMO', 'MOH')",0.9645394842680808,0,0,False,-0.0366731535660006
367,"('TMO', 'BAX')",0.5022364708209177,0,0,False,0.0067461014771565755
368,"('TMO', 'ALGN')",0.7810150367393149,0,0,False,-0.029034476985878375
369,"('TMO', 'VTRS')",-0.8844828755820305,0,0,False,-0.004265948437884234
370,"('TMO', 'RVTY')",0.9528976237798465,1,1,False,0.020410008769003132
371,"('TMO', 'TECH')",0.9522684361850294,0,1,False,0.03518912009950024
372,"('TMO', 'UHS')",0.47212518865416353,0,1,False,0.010802282954924879
373,"('TMO', 'INCY')",-0.27148411054898147,0,0,False,-0.0031728126245639393
374,"('TMO', 'CRL')",0.9012122562745458,1,0,False,-0.006194311583477864
375,"('TMO', 'HSIC')",0.7818626303010532,0,0,False,0.010635477065563944
376,"('TMO', 'TFX')",0.6764688781286554,0,1,False,0.01668889447776242
377,"('TMO', 'DVA')",0.717147143672215,0,0,False,0.029543553567168736
378,"('ISRG', 'DHR')",0.9517556335450099,0,1,False,0.051208235630298804
379,"('ISRG', 'AMGN')",0.8954782624411016,0,0,False,0.04875231942213411
380,"('ISRG', 'PFE')",0.8245506852623623,0,0,False,-0.024907405123930394
381,"('ISRG', 'SYK')",0.9722167923322916,0,0,False,0.01813436806354804
382,"('ISRG', 'BSX')",0.9227218564922602,0,0,False,0.01732155741055623
383,"('ISRG', 'BMY')",0.6257629396403899,0,0,False,0.05374112211262649
384,"('ISRG', 'VRTX')",0.8280208471865601,0,1,False,0.004451415656281182
385,"('ISRG', 'GILD')",-0.05720361603862461,0,0,False,0.049526408735084064
386,"('ISRG', 'MDT')",0.828891408058183,0,0,False,0.06052985248098162
387,"('ISRG', 'ELV')",0.9042650604699293,0,0,False,0.020385212010301246
388,"('ISRG', 'CI')",0.8236723630333631,0,0,False,0.03800776998146528
389,"('ISRG', 'REGN')",0.6752069265723052,0,0,False,-0.020183436432103262
390,"('ISRG', 'MCK')",0.5229248705784848,0,0,False,0.06052985248098162
391,"('ISRG', 'ZTS')",0.9720179350448082,0,0,True,0.03147827325823296
392,"('ISRG', 'CVS')",0.2195659447853898,0,0,False,0.027138907066839205
393,"('ISRG', 'BDX')",0.8911935530360784,1,0,False,0.05908981971144668
394,"('ISRG', 'HCA')",0.9277768080898512,0,1,False,0.03342940370176077
395,"('ISRG', 'COR')",0.7427940034835143,0,0,False,0.036773252964760444
396,"('ISRG', 'EW')",0.9358948108971352,0,1,False,0.02306286555789222
397,"('ISRG', 'A')",0.9480300306700058,0,0,False,0.031076482470586777
398,"('ISRG', 'RMD')",0.9369585687912784,1,0,False,0.06052985248098162
399,"('ISRG', 'IDXX')",0.9739261778485739,0,1,False,0.02470680701036066
400,"('ISRG', 'HUM')",0.923025815118811,0,0,False,0.02274683015278292
401,"('ISRG', 'IQV')",0.9643699149034214,0,0,True,0.027210163655258614
402,"('ISRG', 'DXCM')",0.9261959823462134,0,0,False,-0.01770226040523807
403,"('ISRG', 'CNC')",0.8663638637492135,0,1,False,0.022024170871505065
404,"('ISRG', 'CAH')",0.09791369976582852,0,0,False,0.06052985248098162
405,"('ISRG', 'MTD')",0.9469633834083013,0,0,False,0.035436127665289224
406,"('ISRG', 'BIIB')",-0.3782935779146053,0,0,False,0.09275177436716414
407,"('ISRG', 'WST')",0.9439299530958173,1,1,False,0.020502893222735553
408,"('ISRG', 'WAT')",0.9260081411284409,0,0,False,0.033936119771534747
409,"('ISRG', 'ZBH')",0.7451391534498993,0,0,False,0.03873417523040865
410,"('ISRG', 'STE')",0.9603373992638673,0,0,True,0.06052985248098162
411,"('ISRG', 'COO')",0.9590565038247011,1,0,True,0.013823406149884879
412,"('ISRG', 'LH')",0.946205918554159,0,0,True,0.07519859317512188
