Ticker,ABBV,ABT,AMGN,DHR,ISRG,JNJ,LLY,MRK,PFE,SYK,TMO,UNH
ABBV,1.0,0.8372044170296924,0.9043049699660111,0.8804102188522756,0.8355306273141757,0.9161420403535213,0.8954877080376409,0.892630091736639,0.8240073361558646,0.874434199565869,0.9060252210627578,0.9728732451198665
ABT,0.8372044170296924,1.0,0.8997018435181913,0.9698113233729733,0.9531903682514021,0.9331488686618592,0.7209711635542568,0.8090250233115407,0.8434703229789513,0.9349238769145726,0.971203772893934,0.9051501147739908
AMGN,0.9043049699660111,0.8997018435181913,1.0,0.8981390286911376,0.8745797671067363,0.9254557741172538,0.8479935832852312,0.9041755640034557,0.7465193634683656,0.9002807816711866,0.9078456899569185,0.9357376623032968
DHR,0.8804102188522756,0.9698113233729733,0.8981390286911376,1.0,0.9430430566853947,0.9531054996113867,0.7736381539557019,0.8252376711884912,0.8645276720564065,0.9277827935907199,0.9895945146298444,0.9415594558106458
ISRG,0.8355306273141757,0.9531903682514021,0.8745797671067363,0.9430430566853947,1.0,0.9188051924762317,0.7623258650663131,0.8167109465039825,0.7878078889656454,0.9671185254650229,0.9359900762195827,0.8981425158009428
JNJ,0.9161420403535213,0.9331488686618592,0.9254557741172538,0.9531054996113867,0.9188051924762317,1.0,0.7867250791228431,0.8623251472190554,0.8695889804676521,0.9293697630310693,0.9490410367086919,0.9554082152002223
LLY,0.8954877080376409,0.7209711635542568,0.8479935832852312,0.7736381539557019,0.7623258650663131,0.7867250791228431,1.0,0.904726782142689,0.6151963388758032,0.8157432132196643,0.7991731274182442,0.8914442149830178
MRK,0.892630091736639,0.8090250233115407,0.9041755640034557,0.8252376711884912,0.8167109465039825,0.8623251472190554,0.904726782142689,1.0,0.717849391837813,0.8894484762719691,0.8565407688885087,0.9109255569047499
PFE,0.8240073361558646,0.8434703229789513,0.7465193634683656,0.8645276720564065,0.7878078889656454,0.8695889804676521,0.6151963388758032,0.717849391837813,1.0,0.7620530654265878,0.8737824127979854,0.8610354719784216
SYK,0.874434199565869,0.9349238769145726,0.9002807816711866,0.9277827935907199,0.9671185254650229,0.9293697630310693,0.8157432132196643,0.8894484762719691,0.7620530654265878,1.0,0.9285683017015581,0.9200127465174394
TMO,0.9060252210627578,0.971203772893934,0.9078456899569185,0.9895945146298444,0.9359900762195827,0.9490410367086919,0.7991731274182442,0.8565407688885087,0.8737824127979854,0.9285683017015581,1.0,0.953991637441807
UNH,0.9728732451198665,0.9051501147739908,0.9357376623032968,0.9415594558106458,0.8981425158009428,0.9554082152002223,0.8914442149830178,0.9109255569047499,0.8610354719784216,0.9200127465174394,0.953991637441807,1.0
