Date,ABBV,ABT,AMGN,BMY,BSX,DHR,ISRG,JNJ,LLY,MRK,PFE,SYK,TMO,UNH,VRTX
2015-01-02,43.563194274902344,37.10874938964844,120.2265853881836,43.871421813964844,13.220000267028809,35.26848220825195,58.39666748046875,79.31123352050781,57.90543746948242,40.54889678955078,20.04116439819336,83.73509216308594,124.45162963867188,86.89298248291016,123.06999969482422
2015-01-05,42.74335479736328,37.11701965332031,118.79791259765625,43.18581771850586,13.8100004196167,34.918758392333984,57.1522216796875,78.7573013305664,57.33515548706055,41.15156173706055,19.93242073059082,82.44327545166016,122.74201202392578,85.46170043945312,121.02999877929688
2015-01-06,42.531795501708984,36.69550704956055,114.97055053710938,43.112091064453125,13.699999809265137,34.68012619018555,57.75444412231445,78.37029266357422,57.62441635131836,42.768131256103516,20.09873390197754,82.32748413085938,121.59584045410156,85.28926086425781,117.36000061035156
2015-01-07,44.25078201293945,36.993045806884766,118.98587036132812,43.67238235473633,14.029999732971191,34.889957427978516,58.071109771728516,80.10038757324219,57.21942138671875,43.68276596069336,20.373790740966797,83.88651275634766,125.23846435546875,86.16007232666016,120.66000366210938
2015-01-08,44.71358871459961,37.75339889526367,118.55731201171875,44.76344680786133,14.59000015258789,35.42893600463867,59.22222137451172,80.73021697998047,58.574928283691406,44.561946868896484,20.789596557617188,85.31197357177734,126.54007720947266,90.27278900146484,123.97000122070312
2015-01-09,43.490455627441406,37.356689453125,117.09851837158203,44.46855926513672,14.649999618530273,35.190303802490234,57.87444305419922,79.62995147705078,57.798004150390625,44.35634231567383,20.885547637939453,84.27853393554688,126.03498840332031,89.42784118652344,122.20999908447266
2015-01-12,43.477230072021484,37.67076110839844,117.46700286865234,45.83977127075195,14.579999923706055,34.75419235229492,58.38999938964844,79.35675048828125,57.37646484375,44.172000885009766,20.96230697631836,83.76179504394531,124.8207778930664,88.41908264160156,118.30999755859375
2015-01-13,42.22494888305664,37.064231872558594,116.65494537353516,46.532752990722656,14.5,34.70480728149414,57.962223052978516,79.49334716796875,57.34341049194336,44.09400177001953,20.7512149810791,83.94003295898438,124.66529846191406,88.8674087524414,120.5999984741211
2015-01-14,42.431427001953125,36.7900505065918,116.66993713378906,46.40742492675781,14.5,34.15760040283203,59.48444366455078,78.91666412353516,57.65749740600586,44.41307067871094,20.77680015563965,83.07582092285156,122.58661651611328,89.09158325195312,120.37999725341797
2015-01-15,41.891883850097656,36.515869140625,114.2336654663086,45.434303283691406,14.3100004196167,33.750282287597656,58.264442443847656,77.77082061767578,57.64094543457031,43.87420654296875,20.725622177124023,81.5167465209961,120.57588195800781,90.06586456298828,117.77999877929688
2015-01-16,42.990970611572266,36.96452331542969,119.12873077392578,45.935611724853516,14.460000038146973,33.96009826660156,58.95888900756836,78.9469985961914,58.41788864135742,44.689579010009766,20.981491088867188,82.36311340332031,121.70267486572266,91.19535827636719,122.86000061035156
2015-01-20,42.264915466308594,36.74018478393555,118.50469207763672,46.038818359375,14.329999923706055,34.13703155517578,57.98777770996094,76.86026000976562,59.53367614746094,44.39178466796875,21.173397064208984,81.66820526123047,121.65410614013672,91.06603240966797,124.73999786376953
2015-01-21,41.76533889770508,36.60725784301758,118.33921813964844,45.67021179199219,14.390000343322754,34.25634765625,57.56888961791992,77.32313537597656,59.70723342895508,44.07273483276367,20.879150390625,82.0602035522461,121.77064514160156,94.2562026977539,125.08999633789062
2015-01-22,41.951839447021484,36.96452331542969,119.9859619140625,45.77342987060547,14.930000305175781,34.76652908325195,58.37555694580078,78.73453521728516,59.889068603515625,44.37761688232422,20.987890243530273,83.18273162841797,123.36370849609375,98.16194915771484,127.30000305175781
2015-01-23,41.58547592163086,36.44108963012695,120.16643524169922,45.75867462158203,14.84000015258789,34.618408203125,57.50777816772461,77.55078125,59.6163330078125,44.30670928955078,20.757606506347656,82.58583068847656,121.29470825195312,96.56689453125,125.56999969482422
2015-01-26,41.8519172668457,36.68203353881836,120.10626983642578,46.04618453979492,14.960000038146973,34.42091369628906,57.88999938964844,77.59630584716797,59.59978485107422,44.54069137573242,20.981491088867188,82.45220947265625,122.04265594482422,96.23063659667969,125.12000274658203
2015-01-27,42.031768798828125,36.29153823852539,119.47461700439453,45.699710845947266,14.739999771118164,34.82411193847656,56.578887939453125,77.46731567382812,59.28572463989258,44.35634231567383,20.853559494018555,82.25621032714844,121.30441284179688,94.85111236572266,123.66999816894531
2015-01-28,41.19912338256836,36.06721496582031,116.27890014648438,45.2131462097168,14.59000015258789,34.0876579284668,55.84000015258789,77.00443267822266,58.6575927734375,43.569313049316406,20.437768936157227,82.6303482055664,120.77986907958984,93.5146713256836,121.26000213623047
2015-01-29,42.04508590698242,37.60429000854492,117.57975006103516,45.07307052612305,14.850000381469727,34.532005310058594,56.108890533447266,77.6873779296875,59.59978485107422,44.02309799194336,20.36100196838379,83.45890045166016,124.29621887207031,94.31653594970703,114.13999938964844
2015-01-30,40.19995880126953,37.18886184692383,114.48930358886719,44.431705474853516,14.8100004196167,33.89427185058594,54.942222595214844,75.98760986328125,59.508853912353516,42.739768981933594,19.989990234375,81.11585998535156,121.62496948242188,91.60920715332031,110.13999938964844
2015-02-02,40.433101654052734,37.57935333251953,114.66978454589844,44.4022102355957,14.609999656677246,34.453826904296875,56.3477783203125,76.51119995117188,59.25265884399414,43.16518783569336,20.24585723876953,81.74840545654297,122.28549194335938,92.50592041015625,111.18000030517578
