,pair,correlation,same_sector,same_kmeans_3,same_kmeans_6,mean_reverting,keyword_overlap,growth_diff
1121,"('GILD', 'PODD')",-0.002499713395742017,0,0,0,False,25,-0.06711236846256358
1122,"('GILD', 'DGX')",-0.03462420064453648,0,1,1,False,29,0.011511956453151258
1123,"('GILD', 'MOH')",0.12114590487562947,0,0,0,False,26,-0.060858829919603286
1124,"('GILD', 'HOLX')",0.04708804985731097,0,1,1,False,28,0.045203420825569066
1125,"('GILD', 'ALGN')",-0.2577997250052646,0,0,0,False,29,-0.05322015333948106
1126,"('GILD', 'UTHR')",0.4973696525011074,0,1,0,False,28,-0.04312445123253197
1127,"('GILD', 'BAX')",-0.5780462531338263,0,1,1,True,27,-0.01743957487644611
1128,"('GILD', 'VTRS')",0.2259039373610643,0,1,0,False,28,-0.02845162479148692
1129,"('GILD', 'RVTY')",-0.12363040919092953,0,1,1,False,29,-0.003775667584599551
1130,"('GILD', 'THC')",0.4111727779384066,0,0,0,False,28,-0.006806598482550313
1131,"('GILD', 'NBIX')",-0.1113765830491922,0,0,0,False,30,-0.06285626064635132
1132,"('GILD', 'BMRN')",0.5098337950992158,0,1,0,False,28,-0.020312952493316862
1133,"('GILD', 'INCY')",-0.08381342346477208,0,1,0,False,30,-0.027358488978166624
1134,"('GILD', 'SRPT')",-0.19702321521623872,0,0,0,False,28,-0.09582410004691858
1135,"('GILD', 'TECH')",-0.06539073589829741,0,0,0,False,28,0.011003443745897554
1136,"('GILD', 'EXAS')",-0.313690901680497,0,0,0,False,27,-0.05163005679753997
1137,"('GILD', 'UHS')",0.1017780984404471,0,1,0,False,27,-0.013383393398677806
1138,"('GILD', 'EXEL')",-0.4667503852714953,0,0,0,False,28,-0.06808753664228506
1139,"('GILD', 'EHC')",-0.056271174162132134,0,1,1,False,28,-0.023772500863318523
1140,"('GILD', 'CRL')",-0.09298126612243854,0,0,0,False,28,-0.03037998793708055
1141,"('GILD', 'QGEN')",-0.1451147521373243,0,1,1,False,28,0.0029283430267742026
1142,"('GILD', 'GMED')",-0.15441855543822086,0,1,1,False,26,-0.07958315859080278
1143,"('GILD', 'HSIC')",-0.01889617038193207,0,1,1,False,26,-0.013550199288038741
1144,"('GILD', 'TFX')",-0.4284624156422273,0,1,1,False,27,-0.007496781875840266
1145,"('GILD', 'CHE')",-0.07640459101352108,0,0,0,False,27,0.0013008618330036074
1146,"('GILD', 'DVA')",0.14597509100921116,0,1,1,False,25,0.005357877213566051
1147,"('GILD', 'RGEN')",-0.002999553771433773,0,0,0,False,28,-0.07955955290338362
1148,"('GILD', 'JAZZ')",0.20950506342126385,0,1,0,False,29,-0.04894727341248127
1149,"('GILD', 'MASI')",-0.28149870043550657,0,0,0,False,28,-0.07037176241518939
1150,"('GILD', 'BRKR')",0.03029200637888526,0,0,0,False,26,-0.037287726928055445
1151,"('GILD', 'BIO')",-0.20359062388033797,0,1,1,False,26,0.0043189507699413375
1152,"('GILD', 'IONS')",-0.05488855374680271,0,0,0,False,28,-0.008668770842149641
1153,"('GILD', 'XRAY')",-0.2766748536092309,0,1,0,False,28,-0.011782919141011015
1154,"('GILD', 'PRGO')",0.4012178219736146,0,1,0,False,27,-0.003861255673205539
1155,"('GILD', 'ACHC')",0.6615277562915398,0,1,0,True,23,-0.02869110107838372
1156,"('GILD', 'AMED')",-0.3620827717723766,0,0,0,False,27,0.0022402363009262523
1157,"('GILD', 'AZTA')",-0.1803394664865687,0,0,0,False,29,-0.019953653665826517
1158,"('GILD', 'QDEL')",-0.19820851377931278,0,0,0,False,27,-0.08487066514051574
1159,"('GILD', 'PINC')",-0.2015146014364393,0,1,0,False,25,0.011003443745897554
1160,"('MDT', 'ELV')",0.6665563158254805,0,0,0,False,27,-0.04014464047068037
1161,"('MDT', 'CI')",0.5808970339514535,0,0,0,False,28,-0.022522082499516333
1162,"('MDT', 'REGN')",0.3593549104947504,0,0,0,False,28,-0.08071328891308488
1163,"('MDT', 'ZTS')",0.8374016624444564,0,0,0,False,27,-0.02905157922274866
1164,"('MDT', 'BDX')",0.8032344958638991,0,1,1,False,28,-0.001440032769534934
1165,"('MDT', 'HCA')",0.6724952733831411,0,0,0,False,26,-0.02710044877922085
1166,"('MDT', 'EW')",0.9021604022983678,1,0,0,False,27,-0.0374669869230894
1167,"('MDT', 'A')",0.7809888597197502,0,0,0,False,27,-0.02945337001039484
1168,"('MDT', 'IQV')",0.8288090840016501,0,0,0,False,27,-0.033319688825723004
1169,"('MDT', 'IDXX')",0.8469650242606418,0,0,0,False,28,-0.03582304547062096
1170,"('MDT', 'RMD')",0.8338786563666162,0,0,0,False,28,0.0
1171,"('MDT', 'VEEV')",0.8854344273665046,0,0,0,True,26,0.0
1172,"('MDT', 'HUM')",0.7243067909105819,0,0,0,False,28,-0.0377830223281987
1173,"('MDT', 'ALNY')",0.5342722807062618,0,0,0,False,26,-0.18935103839098907
1174,"('MDT', 'DXCM')",0.7465764881840896,1,0,0,False,28,-0.07823211288621969
1175,"('MDT', 'CNC')",0.7436910909280359,0,0,0,False,29,-0.03850568160947655
1176,"('MDT', 'CAH')",-0.25047717003563336,0,1,1,False,28,0.0
1177,"('MDT', 'BIIB')",-0.3212794291728824,0,1,0,False,28,0.032221921886182524
1178,"('MDT', 'WST')",0.7652150281962492,0,0,0,False,28,-0.040026959258246064
1179,"('MDT', 'WAT')",0.80477777561869,0,1,1,False,26,-0.02659373270944687
1180,"('MDT', 'ZBH')",0.8774975015152743,1,1,1,True,28,-0.021795677250572965
1181,"('MDT', 'ILMN')",0.8280618099083904,0,1,0,False,28,-0.04363418889902723
1182,"('MDT', 'STE')",0.8095874459096967,1,0,0,False,28,0.0
1183,"('MDT', 'COO')",0.8984325784558652,0,1,1,False,28,-0.024236487788078843
1184,"('MDT', 'LH')",0.8068149248612807,0,1,1,False,28,0.01466874069414027
1185,"('MDT', 'PODD')",0.7995305852928043,1,0,0,False,25,-0.07811581220846113
