pair,adf_pvalue,johansen_stat,johansen_crit,adf_stationary,johansen_stationary,mean_reverting
"('LLY', 'AZTA')",0.9912914773631579,10.391128287389797,15.4943,False,False,False
"('LLY', 'QDEL')",0.9988087265900094,12.012682077123133,15.4943,False,False,False
"('LLY', 'PINC')",0.9950985692765594,21.319097911681002,15.4943,False,True,False
"('UNH', 'JNJ')",0.035328438358533026,13.700601659849077,15.4943,True,False,False
"('UNH', 'ABBV')",0.0020622293454075507,18.370563554097956,15.4943,True,True,True
"('UNH', 'MRK')",0.14501156821250188,8.842371447802162,15.4943,False,False,False
"('UNH', 'ABT')",0.39916451913093387,5.249813828192164,15.4943,False,False,False
"('UNH', 'TMO')",0.11724648248793762,9.849259519228568,15.4943,False,False,False
"('UNH', 'ISRG')",0.1338412541159114,7.353234235943287,15.4943,False,False,False
"('UNH', 'AMGN')",0.006448045783428966,13.726294230034986,15.4943,True,False,False
"('UNH', 'DHR')",0.20840161060372187,8.376891643512492,15.4943,False,False,False
"('UNH', 'PFE')",0.9103408687671045,4.0132387594949765,15.4943,False,False,False
"('UNH', 'SYK')",0.09488714845865254,9.163553878483885,15.4943,False,False,False
"('UNH', 'BSX')",0.22514140403770605,6.0584043009200546,15.4943,False,False,False
"('UNH', 'BMY')",0.5264615703850021,8.035094040297455,15.4943,False,False,False
"('UNH', 'VRTX')",0.2319716497685536,5.511971140643318,15.4943,False,False,False
"('UNH', 'GILD')",0.9651206014570413,8.419742308154614,15.4943,False,False,False
"('UNH', 'MDT')",0.9020837583873903,6.717749454037282,15.4943,False,False,False
"('UNH', 'ELV')",0.0074267815977041695,22.891771466417495,15.4943,True,True,True
"('UNH', 'CI')",0.03345412186405357,13.197444883180534,15.4943,True,False,False
"('UNH', 'REGN')",0.19847066840076433,6.61837957943789,15.4943,False,False,False
"('UNH', 'ZTS')",0.28392002023915514,6.990742206191915,15.4943,False,False,False
"('UNH', 'BDX')",0.5454984919787196,7.6901987487786325,15.4943,False,False,False
"('UNH', 'HCA')",0.031230043915933682,11.03398793208958,15.4943,True,False,False
"('UNH', 'EW')",0.6640732916819183,6.297604988854657,15.4943,False,False,False
"('UNH', 'A')",0.07495262032048018,7.47062724615977,15.4943,False,False,False
"('UNH', 'IQV')",0.059679051971626595,9.14972141836283,15.4943,False,False,False
"('UNH', 'IDXX')",0.27153817682100423,6.30551860490605,15.4943,False,False,False
"('UNH', 'RMD')",0.6547129088698502,5.817150018686439,15.4943,False,False,False
"('UNH', 'VEEV')",0.688627800152505,6.2303253985427665,15.4943,False,False,False
"('UNH', 'HUM')",0.04727535682596437,11.570944167758352,15.4943,True,False,False
"('UNH', 'ALNY')",0.00812196770612363,16.656429746864113,15.4943,True,True,True
"('UNH', 'DXCM')",0.13751113525953607,6.755970659132994,15.4943,False,False,False
"('UNH', 'CNC')",0.4712602117287183,8.444248991342512,15.4943,False,False,False
"('UNH', 'CAH')",0.7769518965612887,4.902562822754102,15.4943,False,False,False
"('UNH', 'BIIB')",0.4100015934641959,22.84446327304235,15.4943,False,True,False
"('UNH', 'WST')",0.2658647673188999,8.19111468338821,15.4943,False,False,False
"('UNH', 'WAT')",0.08383174967366502,10.107488999362054,15.4943,False,False,False
"('UNH', 'ZBH')",0.5613837192532583,10.624180954250264,15.4943,False,False,False
"('UNH', 'ILMN')",0.9831683984375696,6.279026321928377,15.4943,False,False,False
"('UNH', 'STE')",0.04042699192635327,10.800894130648512,15.4943,True,False,False
"('UNH', 'COO')",0.2998633693687036,6.574100048507175,15.4943,False,False,False
"('UNH', 'LH')",0.050450924083158384,11.299686356867001,15.4943,False,False,False
"('UNH', 'PODD')",0.2861251760978474,5.77200579334419,15.4943,False,False,False
"('UNH', 'DGX')",0.010370761295434875,12.923039466360416,15.4943,True,False,False
"('UNH', 'MOH')",0.006412381930590405,12.579056544895007,15.4943,True,False,False
"('UNH', 'HOLX')",0.0512746951201647,11.806697065433841,15.4943,False,False,False
"('UNH', 'ALGN')",0.8730742323462402,5.638289319567054,15.4943,False,False,False
"('UNH', 'UTHR')",0.305035723646724,6.8296343186302675,15.4943,False,False,False
"('UNH', 'BAX')",0.9893288045136074,6.027447747050243,15.4943,False,False,False
"('UNH', 'VTRS')",0.1378462206868818,9.549128439935105,15.4943,False,False,False
"('UNH', 'RVTY')",0.8305710223947209,5.309650649172259,15.4943,False,False,False
"('UNH', 'THC')",0.4152653360916304,4.742360996084312,15.4943,False,False,False
"('UNH', 'NBIX')",0.28914200605100304,7.176458663260297,15.4943,False,False,False
"('UNH', 'BMRN')",0.9707526146147635,15.297550915739667,15.4943,False,False,False
"('UNH', 'INCY')",0.7829403147494693,11.016717475481672,15.4943,False,False,False
"('UNH', 'SRPT')",0.6260012256161305,6.522116163756842,15.4943,False,False,False
"('UNH', 'TECH')",0.6116713564176952,5.626747396931165,15.4943,False,False,False
"('UNH', 'EXAS')",0.8836953696974226,4.744589415148816,15.4943,False,False,False
"('UNH', 'UHS')",0.536701298290768,14.958152546755109,15.4943,False,False,False
"('UNH', 'EXEL')",0.7613738465284088,4.736133452317665,15.4943,False,False,False
"('UNH', 'EHC')",0.24334439804011587,6.637915957956882,15.4943,False,False,False
"('UNH', 'CRL')",0.7399741393459853,4.840191324482933,15.4943,False,False,False
"('UNH', 'QGEN')",0.33094218901638667,8.245546971051223,15.4943,False,False,False
"('UNH', 'GMED')",0.5704386403467268,6.7438400446387465,15.4943,False,False,False
"('UNH', 'HSIC')",0.045761827041626485,16.56950941856964,15.4943,True,True,True
"('UNH', 'TFX')",0.9597045515859063,4.958476558082622,15.4943,False,False,False
"('UNH', 'CHE')",0.3342482915153445,4.769022133898626,15.4943,False,False,False
"('UNH', 'DVA')",0.5073513895938874,6.569781766914061,15.4943,False,False,False
"('UNH', 'RGEN')",0.18598273964210937,9.269195396013114,15.4943,False,False,False
"('UNH', 'JAZZ')",0.9195163748012833,16.15494412052766,15.4943,False,True,False
"('UNH', 'MASI')",0.9213561443226936,4.184794955616808,15.4943,False,False,False
"('UNH', 'BRKR')",0.10675933385278635,9.80184778138419,15.4943,False,False,False
"('UNH', 'BIO')",0.9364972027769277,6.412438917551463,15.4943,False,False,False
"('UNH', 'IONS')",0.9143437109424135,11.760994038797142,15.4943,False,False,False
"('UNH', 'XRAY')",0.5511865232996569,10.056508482567718,15.4943,False,False,False
"('UNH', 'PRGO')",0.7090109604045187,5.293167323776661,15.4943,False,False,False
"('UNH', 'ACHC')",0.7623057176083181,4.542833408509663,15.4943,False,False,False
"('UNH', 'AMED')",0.9883533147265303,5.205696552935618,15.4943,False,False,False
"('UNH', 'AZTA')",0.5013506522842875,7.346528086735448,15.4943,False,False,False
"('UNH', 'QDEL')",0.8523997964136842,6.788593166192119,15.4943,False,False,False
"('UNH', 'PINC')",0.9879313591064655,10.406594848992988,15.4943,False,False,False
"('JNJ', 'ABBV')",0.06721825090872573,8.971013442534638,15.4943,False,False,False
"('JNJ', 'MRK')",0.3587113077560834,5.446661108647592,15.4943,False,False,False
"('JNJ', 'ABT')",0.042999900742820146,10.851467708161378,15.4943,True,False,False
"('JNJ', 'TMO')",0.012567783375019384,15.365432719812677,15.4943,True,False,False
"('JNJ', 'ISRG')",0.018012823312973943,13.446721040427773,15.4943,True,False,False
"('JNJ', 'AMGN')",0.04830796218445622,9.931851066270466,15.4943,True,False,False
"('JNJ', 'DHR')",0.0030383423130132263,17.889690792201574,15.4943,True,True,True
"('JNJ', 'PFE')",0.536011235374481,7.0314169667279725,15.4943,False,False,False
"('JNJ', 'SYK')",0.02333680635067743,12.297552161573448,15.4943,True,False,False
"('JNJ', 'BSX')",0.13688930863153148,7.815853086605289,15.4943,False,False,False
"('JNJ', 'BMY')",0.333404185923468,9.628279725573671,15.4943,False,False,False
"('JNJ', 'VRTX')",0.38060344603254215,4.668577150056931,15.4943,False,False,False
"('JNJ', 'GILD')",0.625746094484375,10.356275282911882,15.4943,False,False,False
"('JNJ', 'MDT')",0.5497945507414452,9.558368449642904,15.4943,False,False,False
"('JNJ', 'ELV')",0.013133209216650465,15.477809372442927,15.4943,True,False,False
"('JNJ', 'CI')",0.044761531739497144,12.925893370769309,15.4943,True,False,False
"('JNJ', 'REGN')",0.3280190410334841,4.8174102387285656,15.4943,False,False,False
"('JNJ', 'ZTS')",0.022940828124346006,11.556670270772786,15.4943,True,False,False
"('JNJ', 'BDX')",0.03591736168634949,12.558193559561865,15.4943,True,False,False
"('JNJ', 'HCA')",0.10711773859904794,9.443469278244246,15.4943,False,False,False
"('JNJ', 'EW')",0.07554217694617962,12.725497270671198,15.4943,False,False,False
"('JNJ', 'A')",0.006533612337472191,14.659816131109846,15.4943,True,False,False
"('JNJ', 'IQV')",0.009317825734032167,18.31459675109019,15.4943,True,True,True
"('JNJ', 'IDXX')",0.051361291288481804,11.118553007715008,15.4943,False,False,False
"('JNJ', 'RMD')",0.016909887057584255,13.75641187802422,15.4943,True,False,False
"('JNJ', 'VEEV')",0.15692857313594227,8.711587984295955,15.4943,False,False,False
"('JNJ', 'HUM')",0.0002293727083559261,21.935101323017133,15.4943,True,True,True
"('JNJ', 'ALNY')",0.020260822598247973,15.311647996899701,15.4943,True,False,False
"('JNJ', 'DXCM')",0.044074782162278836,10.807193221274204,15.4943,True,False,False
"('JNJ', 'CNC')",0.02902513206602148,15.977900117072698,15.4943,True,True,True
"('JNJ', 'CAH')",0.5668654514131699,4.612908954247554,15.4943,False,False,False
"('JNJ', 'BIIB')",0.137681475721951,25.45934667639101,15.4943,False,True,False
"('JNJ', 'WST')",0.039332149563424325,9.168169394927565,15.4943,True,False,False
"('JNJ', 'WAT')",0.0014884967446764513,17.368991547900304,15.4943,True,True,True
"('JNJ', 'ZBH')",0.2845286919667068,15.306604744067114,15.4943,False,False,False
"('JNJ', 'ILMN')",0.8680898683941727,6.924862136756093,15.4943,False,False,False
"('JNJ', 'STE')",0.003300288846838159,14.47252157942428,15.4943,True,False,False
"('JNJ', 'COO')",0.07261973204679505,13.235534992286023,15.4943,False,False,False
"('JNJ', 'LH')",0.01855862482944247,15.472951145028892,15.4943,True,False,False
"('JNJ', 'PODD')",0.03109832216911842,14.480949762910926,15.4943,True,False,False
"('JNJ', 'DGX')",7.674419559435522e-05,24.058350260530073,15.4943,True,True,True
"('JNJ', 'MOH')",0.04778472244804975,9.616060444890682,15.4943,True,False,False
"('JNJ', 'HOLX')",0.009996523447736796,17.393825412263478,15.4943,True,True,True
"('JNJ', 'ALGN')",0.3214935169279075,7.29123563954565,15.4943,False,False,False
"('JNJ', 'UTHR')",0.2947259062254744,7.721188330494796,15.4943,False,False,False
"('JNJ', 'BAX')",0.8673401367873861,7.290332721463746,15.4943,False,False,False
"('JNJ', 'VTRS')",0.0004688287388765365,20.87636038253873,15.4943,True,True,True
"('JNJ', 'RVTY')",0.24902797320841952,12.26124202513678,15.4943,False,False,False
"('JNJ', 'THC')",0.24780149366714638,5.8208459507906865,15.4943,False,False,False
"('JNJ', 'NBIX')",0.07740486189934871,10.41586390359885,15.4943,False,False,False
"('JNJ', 'BMRN')",0.565724978859546,17.505622108989748,15.4943,False,True,False
"('JNJ', 'INCY')",0.4245975857115389,12.538510142970132,15.4943,False,False,False
"('JNJ', 'SRPT')",0.29202867728861026,9.529857092024281,15.4943,False,False,False
"('JNJ', 'TECH')",0.1590803664787726,11.48213250210923,15.4943,False,False,False
"('JNJ', 'EXAS')",0.4357641093316404,7.674504565249865,15.4943,False,False,False
"('JNJ', 'UHS')",0.34202891659882284,15.437917848764751,15.4943,False,False,False
"('JNJ', 'EXEL')",0.276407525237939,7.3906208464827055,15.4943,False,False,False
"('JNJ', 'EHC')",0.21964911169761836,10.158289311245037,15.4943,False,False,False
"('JNJ', 'CRL')",0.24624063423509485,8.000211777515203,15.4943,False,False,False
"('JNJ', 'QGEN')",0.00484300486695705,17.55954414549957,15.4943,True,True,True
"('JNJ', 'GMED')",0.15746194014481762,15.332949560058568,15.4943,False,False,False
"('JNJ', 'HSIC')",0.013882690886671545,19.066827493445086,15.4943,True,True,True
"('JNJ', 'TFX')",0.7440972728252122,7.786407190526231,15.4943,False,False,False
"('JNJ', 'CHE')",0.044580380185730725,13.832055061468,15.4943,True,False,False
"('JNJ', 'DVA')",0.3550238274522367,8.977585854738555,15.4943,False,False,False
"('JNJ', 'RGEN')",0.026937650018207762,13.166173440146164,15.4943,True,False,False
"('JNJ', 'JAZZ')",0.538179371364893,18.074772828859423,15.4943,False,True,False
"('JNJ', 'MASI')",0.42644738330215815,7.246352302085779,15.4943,False,False,False
"('JNJ', 'BRKR')",0.015222267630480074,13.910482368209564,15.4943,True,False,False
"('JNJ', 'BIO')",0.3644449960252262,7.339747092518596,15.4943,False,False,False
"('JNJ', 'IONS')",0.5241585865605948,13.375953589560526,15.4943,False,False,False
"('JNJ', 'XRAY')",0.3695776313429544,9.018980469830488,15.4943,False,False,False
"('JNJ', 'PRGO')",0.07953805430202898,13.764808488096659,15.4943,False,False,False
"('JNJ', 'ACHC')",0.5243110863223412,5.72094823254562,15.4943,False,False,False
"('JNJ', 'AMED')",0.7147583807074496,9.852858892662777,15.4943,False,False,False
"('JNJ', 'AZTA')",0.10726783341640772,11.633585417532153,15.4943,False,False,False
"('JNJ', 'QDEL')",0.34020823848991744,9.869677523731735,15.4943,False,False,False
"('JNJ', 'PINC')",0.6944403759735048,12.182584094747085,15.4943,False,False,False
"('ABBV', 'MRK')",0.15881731658120846,7.5958695069506215,15.4943,False,False,False
"('ABBV', 'ABT')",0.47149710783526405,5.161529110546852,15.4943,False,False,False
"('ABBV', 'TMO')",0.24962672088694582,9.129980612857851,15.4943,False,False,False
