Date,A,ABBV,ABT,ACHC,ALGN,ALNY,AMED,AMGN,AZTA,BAX,BDX,BIIB,BIO,BMRN,BMY,BRKR,BSX,CAH,CHE,CI,CNC,COO,CRL,DGX,DHR,DVA,DXCM,EHC,ELV,EW,EXAS,EXEL,GILD,GMED,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,IONS,IQV,ISRG,JAZZ,JNJ,LH,LLY,MASI,MDT,MOH,MRK,NBIX,PFE,PINC,PODD,PRGO,QDEL,QGEN,REGN,RGEN,RMD,RVTY,SRPT,STE,SYK,TECH,TFX,THC,TMO,UHS,UNH,UTHR,VEEV,VRTX,VTRS,WAT,WST,XRAY,ZBH,ZTS
2014-01-02,36.74705123901367,33.29130935668945,30.904150009155273,47.04999923706055,56.959999084472656,63.86000061035156,14.420000076293945,85.420166015625,8.919321060180664,30.985807418823242,90.3360366821289,280.3299865722656,122.6500015258789,69.2699966430664,37.48210525512695,18.82727813720703,11.90999984741211,48.81439971923828,71.18122100830078,80.31470489501953,14.760000228881836,30.682281494140625,52.880001068115234,42.17979049682617,31.29603385925293,64.77999877929688,8.6875,22.021703720092773,77.83590698242188,10.986666679382324,11.819999694824219,6.179999828338623,54.16450881958008,19.75,44.8327522277832,21.940000534057617,44.505882263183594,95.12113952636719,52.51499938964844,107.33463287353516,51.22999954223633,39.869998931884766,45.79999923706055,42.223331451416016,126.77999877929688,67.21135711669922,74.87242126464844,40.585140228271484,29.049999237060547,44.481849670410156,36.150001525878906,34.04954528808594,9.550000190734863,18.822284698486328,31.682849884033203,35.83000183105469,128.00205993652344,29.5,22.817813873291016,274.5899963378906,12.630000114440918,39.757713317871094,39.323856353759766,20.579999923706055,41.47071838378906,65.51132202148438,21.603612899780273,86.1875228881836,43.119998931884766,105.9781265258789,77.12120056152344,63.01329803466797,110.9000015258789,32.33000183105469,73.83000183105469,36.5738639831543,99.22000122070312,46.143192291259766,43.37004470825195,82.16646575927734,29.8306941986084
2014-01-03,37.21120834350586,33.49625778198242,31.235586166381836,47.77000045776367,57.16999816894531,63.13999938964844,14.550000190734863,84.43907928466797,9.004922866821289,31.03507423400879,90.52639770507812,277.3999938964844,121.8499984741211,69.08999633789062,37.898014068603516,18.72112464904785,11.930000305175781,49.301597595214844,72.7211685180664,80.50108337402344,14.729999542236328,30.80695343017578,53.459999084472656,42.31624221801758,31.34107780456543,64.47000122070312,8.699999809265137,21.962158203125,77.83590698242188,11.210000038146973,12.079999923706055,6.130000114440918,53.52355194091797,19.59000015258789,45.77125930786133,22.190000534057617,44.670589447021484,94.12222290039062,53.14500045776367,105.65174865722656,51.9900016784668,38.97999954223633,46.290000915527344,41.49555587768555,126.3499984741211,67.81680297851562,75.32052612304688,40.881134033203125,29.950000762939453,45.336666107177734,36.61000061035156,34.214656829833984,9.649999618530273,18.85936164855957,32.04227828979492,36.869998931884766,128.94686889648438,29.889999389648438,22.71114158630371,271.75,12.770000457763672,40.231014251708984,39.58319854736328,20.440000534057617,41.57617950439453,65.69569396972656,21.71829605102539,86.28041076660156,44.20000076293945,106.38414001464844,77.97258758544922,63.46110153198242,111.30999755859375,35.16999816894531,73.44999694824219,36.69411849975586,98.04000091552734,46.560264587402344,43.57803726196289,82.52278900146484,29.544919967651367
2014-01-06,37.02815628051758,32.27296829223633,31.647859573364258,48.380001068115234,59.900001525878906,61.06999969482422,14.5600004196167,83.70879364013672,8.987798690795898,31.088815689086914,90.59263610839844,274.9700012207031,121.06999969482422,67.0999984741211,37.74742126464844,18.40266990661621,12.329999923706055,49.257301330566406,71.07664489746094,80.24948120117188,14.664999961853027,30.4877872467041,52.97999954223633,41.890838623046875,31.06679916381836,64.80000305175781,8.7524995803833,21.39969825744629,76.67646789550781,11.0600004196167,12.859999656677246,6.809999942779541,52.74575424194336,20.06999969482422,45.54601287841797,21.65999984741211,44.568626403808594,93.19725036621094,52.65999984741211,105.90467071533203,52.310001373291016,38.560001373291016,46.029998779296875,41.21555709838867,125.51000213623047,68.17121124267578,74.97200775146484,41.225154876708984,29.40999984741211,46.0205192565918,36.220001220703125,34.221534729003906,9.760000228881836,18.877897262573242,32.068580627441406,36.880001068115234,127.85994720458984,29.489999771118164,22.87599754333496,268.8599853515625,12.760000228881836,39.86097717285156,40.04425811767578,18.770000457763672,41.699214935302734,66.14339447021484,21.69994354248047,86.34546661376953,43.95000076293945,106.39379119873047,77.01598358154297,62.73440933227539,111.37999725341797,34.86000061035156,75.5,36.29899597167969,98.38999938964844,46.304344177246094,43.3158073425293,83.05725860595703,29.480392456054688
2014-01-07,37.55768585205078,32.337013244628906,31.405349731445312,48.47999954223633,61.36000061035156,62.310001373291016,14.960000038146973,85.88488006591797,9.056278228759766,31.25450897216797,91.90040588378906,273.5199890136719,123.91999816894531,68.54000091552734,37.690059661865234,19.15538215637207,12.4399995803833,49.862586975097656,72.06524658203125,82.31793975830078,15.047499656677246,30.906694412231445,56.29999923706055,42.91823196411133,31.324695587158203,65.19999694824219,8.867500305175781,22.074649810791016,78.22238159179688,11.208333015441895,13.699999809265137,6.849999904632568,52.41447830200195,20.1200008392334,46.78486251831055,21.920000076293945,45.22352981567383,93.00302124023438,53.93000030517578,109.44552612304688,51.959999084472656,39.150001525878906,46.790000915527344,41.52888870239258,130.4199981689453,69.61834716796875,76.49053192138672,40.95315170288086,30.280000686645508,46.502323150634766,36.970001220703125,34.47609329223633,18.510000228881836,18.99530029296875,32.129947662353516,37.0099983215332,129.239501953125,30.049999237060547,23.273588180541992,274.07000732421875,12.859999656677246,40.798980712890625,40.447669982910156,17.90999984741211,42.45500183105469,66.52080535888672,21.711416244506836,87.46058654785156,46.099998474121094,108.56885528564453,79.22572326660156,64.65263366699219,110.43000030517578,34.34000015258789,74.48999786376953,36.91743469238281,100.37999725341797,46.65506362915039,43.9849739074707,84.71412658691406,29.591012954711914
2014-01-08,38.172203063964844,32.253761291503906,31.688283920288086,49.31999969482422,60.72999954223633,63.68000030517578,14.880000114440918,85.47917175292969,8.782363891601562,31.35751724243164,91.94178009033203,290.010009765625,124.3499984741211,69.79000091552734,38.3067512512207,19.222929000854492,12.789999961853027,49.4787483215332,71.97020721435547,81.90799713134766,15.359999656677246,30.93661117553711,56.02000045776367,42.693485260009766,31.34107780456543,65.44000244140625,8.869999885559082,22.061416625976562,79.20144653320312,11.123332977294922,13.510000228881836,7.0,52.90420150756836,19.799999237060547,47.44182586669922,22.079999923706055,45.98431396484375,91.93934631347656,54.154998779296875,110.86576080322266,54.7400016784668,42.130001068115234,47.41999816894531,42.27333450317383,137.82000732421875,69.52239227294922,76.10053253173828,40.88916015625,31.260000228881836,47.279441833496094,37.41999816894531,34.25594711303711,18.079999923706055,19.125070571899414,32.813758850097656,36.869998931884766,132.1239013671875,30.600000381469727,23.661481857299805,273.5,12.770000457763672,41.12599182128906,41.01437759399414,18.350000381469727,42.8152961730957,67.60932159423828,21.90178871154785,87.95308685302734,45.36000061035156,110.2412109375,79.43616485595703,63.9005241394043,109.69999694824219,34.16999816894531,75.2300033569336,38.42059326171875,100.4800033569336,47.32805633544922,44.06635665893555,86.78963470458984,29.2591495513916
2014-01-09,38.1852912902832,32.8045539855957,31.744855880737305,49.459999084472656,60.34000015258789,64.83000183105469,14.880000114440918,87.69949340820312,8.799485206604004,31.44260597229004,92.82744598388672,289.75,128.36000061035156,70.18000030517578,39.46126174926758,19.251882553100586,12.779999732971191,50.32761764526367,73.99498748779297,83.90186309814453,15.430000305175781,31.375465393066406,56.439998626708984,43.1269416809082,31.717681884765625,65.63999938964844,9.15999984741211,22.173900604248047,79.87133026123047,11.401666641235352,13.760000228881836,7.190000057220459,53.5091552734375,20.010000228881836,47.77031326293945,22.06999969482422,46.09019470214844,91.56011199951172,54.4900016784668,111.67314910888672,56.16999816894531,46.150001525878906,47.84000015258789,42.975555419921875,136.07000732421875,69.9432144165039,76.81414794921875,41.34516525268555,30.81999969482422,46.12932586669922,37.68000030517578,34.07018280029297,18.290000915527344,19.112709045410156,33.69919204711914,36.27000045776367,132.89312744140625,31.0,23.32207489013672,267.6199951171875,12.300000190734863,41.15180587768555,41.715545654296875,19.239999771118164,43.36016082763672,67.58295440673828,21.888029098510742,90.13680267333984,45.84000015258789,110.20257568359375,80.77540588378906,64.28927612304688,108.73999786376953,32.630001068115234,76.31999969482422,38.7384033203125,100.62000274658203,46.986820220947266,44.2291374206543,85.93452453613281,29.461956024169922
2014-01-10,38.525230407714844,32.599605560302734,31.987377166748047,52.54999923706055,60.709999084472656,66.20999908447266,14.930000305175781,87.03559875488281,8.825160026550293,31.35303497314453,93.15025329589844,299.30999755859375,131.92999267578125,69.81999969482422,40.28590774536133,19.27118492126465,13.109999656677246,51.169124603271484,74.25166320800781,83.11922454833984,15.057499885559082,31.45276641845703,56.86000061035156,43.23929977416992,31.7995662689209,64.73999786376953,9.262499809265137,22.114347457885742,79.0039291381836,11.41333293914795,13.960000038146973,7.440000057220459,53.919639587402344,20.06999969482422,48.16447067260742,22.1200008392334,45.568626403808594,89.6824722290039,54.525001525878906,113.49221801757812,59.970001220703125,47.599998474121094,48.61000061035156,46.68333435058594,138.55999755859375,69.95062255859375,76.32457733154297,41.545162200927734,30.799999237060547,46.58781051635742,37.22999954223633,34.317867279052734,19.149999618530273,18.96440315246582,33.42742156982422,36.25,135.19223022460938,30.889999389648438,23.409351348876953,274.3800048828125,12.460000038146973,41.11738586425781,41.47542953491211,19.43000030517578,42.991058349609375,68.60128021240234,21.9178409576416,90.22041320800781,46.68000030517578,110.64722442626953,81.80854797363281,63.12312316894531,110.98999786376953,32.529998779296875,78.20999908447266,39.48569107055664,101.45999908447266,47.100563049316406,44.265316009521484,86.12158203125,29.996620178222656
2014-01-13,38.525230407714844,32.16709518432617,31.79228401184082,51.68000030517578,58.689998626708984,93.27999877929688,14.600000381469727,85.86274719238281,8.628289222717285,31.39335060119629,91.92525482177734,283.6700134277344,127.66000366210938,68.63999938964844,39.74092483520508,18.962377548217773,12.920000076293945,50.15785217285156,73.60520935058594,82.71858215332031,15.142499923706055,30.931629180908203,57.9900016784668,43.14299392700195,31.17323112487793,64.47000122070312,9.3125,22.09450340270996,78.0162582397461,11.456666946411133,14.029999732971191,7.920000076293945,52.673736572265625,19.8799991607666,47.82659912109375,21.799999237060547,44.827449798583984,88.82229614257812,54.189998626708984,110.82685089111328,59.11000061035156,47.220001220703125,49.15999984741211,43.674442291259766,146.83999633789062,69.77342224121094,75.26243591308594,41.65717315673828,30.520000457763672,46.043819427490234,37.25,36.54701614379883,18.649999618530273,18.871719360351562,32.647193908691406,35.88999938964844,134.5067138671875,30.84000015258789,23.225101470947266,268.67999267578125,12.34000015258789,40.29985427856445,40.67818069458008,20.079999923706055,42.991058349609375,67.96923065185547,21.713708877563477,89.55133819580078,45.90999984741211,109.22620391845703,80.34496307373047,62.48091506958008,108.25,33.06999969482422,77.04000091552734,38.85865783691406,100.51000213623047,46.70245361328125,43.68655776977539,85.20407104492188,29.296022415161133
2014-01-14,39.14629364013672,32.664161682128906,32.16621398925781,52.209999084472656,60.400001525878906,89.76000213623047,14.579999923706055,86.83647155761719,9.022038459777832,31.19629669189453,92.45494079589844,297.4700012207031,130.00999450683594,71.33999633789062,39.9273681640625,19.367673873901367,13.180000305175781,50.34238052368164,73.70980834960938,83.38009643554688,15.289999961853027,31.51260757446289,58.56999969482422,43.28746032714844,32.03699493408203,64.97000122070312,9.229999542236328,22.359174728393555,78.4542465209961,11.766667366027832,14.609999656677246,8.210000038146973,54.00606918334961,20.100000381469727,48.24894332885742,22.110000610351562,45.250980377197266,89.5252456665039,55.005001068115234,118.20038604736328,63.459999084472656,48.709999084472656,49.0,46.6533317565918,145.47999572753906,69.93584442138672,75.48648834228516,41.95317840576172,30.829999923706055,46.16816711425781,37.790000915527344,36.464454650878906,19.389999389648438,19.155961990356445,32.14747619628906,36.810001373291016,132.10714721679688,31.65999984741211,23.758455276489258,300.32000732421875,12.369999885559082,39.47370910644531,41.062408447265625,20.389999389648438,43.47439956665039,68.61003112792969,22.021059036254883,90.02528381347656,46.52000045776367,110.937255859375,81.97117614746094,62.54849624633789,110.8499984741211,33.7400016784668,79.37999725341797,39.700416564941406,103.0,47.62191390991211,44.06635665893555,86.22847747802734,29.36056137084961
2014-01-15,39.447017669677734,32.34783935546875,32.13368606567383,52.70000076293945,62.22999954223633,84.61000061035156,14.880000114440918,87.419189453125,9.16755485534668,31.27242660522461,92.55430603027344,296.7200012207031,129.83999633789062,71.7300033569336,39.08120346069336,20.01424217224121,13.34000015258789,50.12832260131836,74.86951446533203,83.72484588623047,15.53499984741211,32.18335723876953,58.779998779296875,43.73694610595703,32.01652526855469,64.4800033569336,9.267499923706055,22.716508865356445,75.70598602294922,11.981666564941406,14.470000267028809,8.069999694824219,54.178897857666016,22.530000686645508,47.92984390258789,22.309999465942383,45.411766052246094,89.83970642089844,56.05500030517578,117.82101440429688,62.41999816894531,47.65999984741211,49.5,45.866668701171875,147.60000610351562,69.99491119384766,75.57776641845703,42.72921371459961,31.06999969482422,46.105995178222656,38.16999816894531,36.13420486450195,19.15999984741211,19.267192840576172,32.98908996582031,36.529998779296875,131.847900390625,31.709999084472656,23.991191864013672,287.489990234375,12.300000190734863,40.17938232421875,41.35103225708008,19.979999542236328,43.527122497558594,68.68904876708984,22.03940200805664,89.95096588134766,46.4900016784668,111.67192840576172,82.07638549804688,63.24142074584961,110.48999786376953,32.02000045776367,78.7699966430664,39.04762268066406,103.94999694824219,47.83992004394531,43.68655776977539,87.03907775878906,29.32368278503418
